Date : 2026-08-13 20:04:09
Directory : /Users/zerone/Documents/Coding/projectProp/apps
Total : 441 files,  34789 codes, 6733 comments, 5980 blanks, all 47502 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |        159 |     21,536 |      4,374 |      3,116 |     29,026 |
| TypeScript         |        186 |     10,859 |      1,561 |      2,082 |     14,502 |
| MS SQL             |         69 |      1,697 |        700 |        683 |      3,080 |
| JSON               |          8 |        220 |          0 |          5 |        225 |
| PostCSS            |          2 |        188 |         90 |         22 |        300 |
| JavaScript         |          7 |        129 |          6 |         21 |        156 |
| Markdown           |          2 |         92 |          2 |         43 |        137 |
| JSON with Comments |          2 |         51 |          0 |          0 |         51 |
| Docker             |          1 |         12 |          0 |          8 |         20 |
| XML                |          5 |          5 |          0 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                    |        441 |     34,789 |      6,733 |      5,980 |     47,502 |
| backend                                                                                                                                              |        199 |     11,832 |      1,976 |      2,536 |     16,344 |
| backend (Files)                                                                                                                                      |          9 |        264 |          3 |         42 |        309 |
| backend/prisma                                                                                                                                       |         70 |      1,697 |        821 |        698 |      3,216 |
| backend/prisma (Files)                                                                                                                               |          1 |          0 |        121 |         15 |        136 |
| backend/prisma/migrations                                                                                                                            |         69 |      1,697 |        700 |        683 |      3,080 |
| backend/prisma/migrations/20260117153647_init                                                                                                        |          2 |         74 |         12 |         18 |        104 |
| backend/prisma/migrations/20260120095828_bigint_prices                                                                                               |          2 |          4 |          2 |          2 |          8 |
| backend/prisma/migrations/20260120151104_contacts_upgrade                                                                                            |          2 |         10 |          2 |          2 |         14 |
| backend/prisma/migrations/20260122112841_upgrade_property_schema_saas                                                                                |          2 |         64 |         38 |         18 |        120 |
| backend/prisma/migrations/20260122183550_add_property_activity_log                                                                                   |          2 |         22 |          6 |          8 |         36 |
| backend/prisma/migrations/20260123053630_add_user_columns_to_property_activity                                                                       |          2 |          4 |          2 |          2 |          8 |
| backend/prisma/migrations/20260123161713_add_lead_crm                                                                                                |          2 |          8 |          4 |          4 |         16 |
| backend/prisma/migrations/20260124023927_add_property_share                                                                                          |          2 |         24 |          4 |          6 |         34 |
| backend/prisma/migrations/20260125104045_add_tenant_preferences_enum                                                                                 |          2 |          2 |          2 |          2 |          6 |
| backend/prisma/migrations/20260125105523_add_tenant_rules                                                                                            |          2 |          8 |         16 |          4 |         28 |
| backend/prisma/migrations/20260125135521_add_agent_system                                                                                            |          2 |         52 |         16 |         22 |         90 |
| backend/prisma/migrations/20260125201245_ingestion_log                                                                                               |          2 |         24 |          6 |          8 |         38 |
| backend/prisma/migrations/20260126065737_add_agent_merge_system                                                                                      |          2 |         24 |          4 |          6 |         34 |
| backend/prisma/migrations/20260126145016_add_property_notes                                                                                          |          2 |          2 |          2 |          2 |          6 |
| backend/prisma/migrations/20260126150732_add_lead_field_to_property_share                                                                            |          2 |          8 |          2 |          2 |         12 |
| backend/prisma/migrations/20260128170540_add_team_member                                                                                             |          2 |         14 |          2 |          4 |         20 |
| backend/prisma/migrations/20260202090910_add_client_thread                                                                                           |          2 |         66 |         20 |         26 |        112 |
| backend/prisma/migrations/20260202102249_add_follow_up_to_client_property                                                                            |          2 |          2 |          2 |          2 |          6 |
| backend/prisma/migrations/20260202122244_add_last_contacted_at                                                                                       |          2 |          2 |          2 |          2 |          6 |
| backend/prisma/migrations/20260217123424_merged_into                                                                                                 |          2 |          2 |          2 |          2 |          6 |
| backend/prisma/migrations/20260217161807_property_count_added                                                                                        |          2 |          2 |          2 |          2 |          6 |
| backend/prisma/migrations/20260319061333_add_workspace_auth_canonical_property_deals                                                                 |          2 |        994 |        410 |        406 |      1,810 |
| backend/prisma/migrations/20260319183305_add_client_property_clientstatus                                                                            |          2 |         34 |         16 |         18 |         68 |
| backend/prisma/migrations/20260321020304_add_availability_status_enum                                                                                |          2 |          6 |         16 |          4 |         26 |
| backend/prisma/migrations/20260321165954_add_client_owner_and_lead_assignment                                                                        |          2 |          8 |          8 |          8 |         24 |
| backend/prisma/migrations/20260412030816_message_cache                                                                                               |          2 |         20 |          6 |          8 |         34 |
| backend/prisma/migrations/20260412093911_add_deal_client_relation                                                                                    |          2 |          2 |          2 |          2 |          6 |
| backend/prisma/migrations/20260429143941_add_shared_ingestion                                                                                        |          2 |         82 |         24 |         32 |        138 |
| backend/prisma/migrations/20260501172033_add_listing_last_activity                                                                                   |          2 |          2 |          2 |          2 |          6 |
| backend/prisma/migrations/20260502073635_add_listing_last_seen_at                                                                                    |          2 |          2 |          2 |          2 |          6 |
